no,jenis_ikan,nama_ikan,lokasi,total_kg
47,Pelagis Besar,Tongkol Lisong,Citarate,940
48,Pelagis Besar,Tuna Mata Besar,Citarate,15
49,Pelagis Besar,Tuna Sirip Kuning,Citarate,1038
JUMLAH,,,Citarate,47489
1,Demersal,Ayam-ayam,Cibareno,1005
2,Pelagis Besar,Bawal Laut,Cibareno,147
3,Pelagis Besar,Cakalang,Cibareno,5562
4,Pelagis Kecil,Cendro,Cibareno,1101
5,Karang (Reef-Associated),Ekor Kuning,Cibareno,1761
6,Demersal,Gabus Laut,Cibareno,838
7,Demersal,Gerot-gerot,Cibareno,2616
8,Demersal,Golok-golok,Cibareno,808
9,Demersal,Gulamah,Cibareno,1948
10,Demersal / Karang,Kakap,Cibareno,204
11,Demersal / Karang,Kakap Batu,Cibareno,109
12,Demersal / Karang,Kakap Jenaha,Cibareno,237
13,Demersal / Karang,Kakap Merah,Cibareno,281
14,Demersal,Kapas-kapas,Cibareno,2017
15,Pelagis Kecil,Kembung Lelaki,Cibareno,1902
16,Pelagis Kecil,Kembung Perempuan,Cibareno,1761
17,Karang (Reef-Associated),Kerapu,Cibareno,263
18,Demersal,Kuniran,Cibareno,1239
19,Demersal,Kurisi,Cibareno,1598
20,Pelagis Kecil / Semi-Demersal,Kuro,Cibareno,3692
21,Pelagis Besar,Kuwe,Cibareno,1312
22,Pelagis Besar,Kuwe Gerong,Cibareno,268
23,Pelagis Kecil,Layang,Cibareno,620
24,Pelagis Besar,Layaran,Cibareno,156
25,Demersal (Benthopelagis),Layur,Cibareno,11432
26,Pelagis Besar,Lemadang,Cibareno,3813
27,Karang (Reef-Associated),Lencam,Cibareno,157
28,Demersal,Manyung,Cibareno,400
29,Pelagis Besar,Marlin,Cibareno,306
30,Pelagis Besar,Nyunglas,Cibareno,113
31,Demersal (Elasmobranch),Pari,Cibareno,450
32,Pelagis Besar,Pedang,Cibareno,92
33,Pelagis Kecil / Semi-Demersal,Peperek,Cibareno,2124
34,Karang (Reef-Associated),Pinjalo,Cibareno,149
35,Pelagis Kecil,Pisang-pisang,Cibareno,6416
36,Demersal (Flatfish),Sebelah,Cibareno,653
37,Pelagis Kecil,Selar Bentong,Cibareno,4115
38,Pelagis Kecil,Selar Kuning,Cibareno,54
39,Karang (Reef-Associated),Swanggi,Cibareno,602
40,Pelagis Besar,Tenggiri,Cibareno,137
41,Pelagis Besar,Tenggiri Papan,Cibareno,179
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Cibareno,962
43,Pelagis Besar,Tongkol,Cibareno,827
44,Pelagis Besar,Tongkol Abu-abu,Cibareno,729
45,Pelagis Besar,Tongkol Banyar,Cibareno,1700
46,Pelagis Besar,Tongkol Komo,Cibareno,1394
47,Pelagis Besar,Tongkol Lisong,Cibareno,1411
48,Pelagis Besar,Tuna Mata Besar,Cibareno,23
49,Pelagis Besar,Tuna Sirip Kuning,Cibareno,1557
JUMLAH,,,Cibareno,71240
