jenis_ikan,nama_ikan,tahun,bulan,total_kg_x,tanggal,no,lokasi,total_kg_y,jenis_alat_tangkap
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Tanjungpanto,45.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Tanjungpanto,45.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sukahujan,101.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sukahujan,101.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sukahujan,101.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cipunaga,167.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cipunaga,167.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cipunaga,167.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Panyaungan,135.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Panyaungan,135.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Panyaungan,135.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Situregen,153.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Situregen,153.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Situregen,153.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Bayah,949.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Bayah,949.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Bayah,949.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Pulomanuk,263.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Pulomanuk,263.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Pulomanuk,263.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sawarna,167.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sawarna,167.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Sawarna,167.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Citarate,91.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Citarate,91.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Citarate,91.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cibareno,137.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cibareno,137.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Cibareno,137.0,Rawai Tuna (Tuna Longline)
Pelagis Kecil,Tetengkek,2019,1,420,2019-01-01,,Unknown,0.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Binuangeun,22044.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Tanjungpanto,267.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Sukahujan,593.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Cipunaga,988.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Panyaungan,800.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Situregen,908.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Bayah,13244.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Pulomanuk,1577.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Sawarna,987.0,Unknown
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01,43,Citarate,551.0,Unknown
