jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Pelagis Besar,Alu Alu/baracuda,612.5,700.0,630.0,352.0,480.0,320.0,875.0,1770,645,900,1050,0.0,8334.5
Karang (Reef-Associated),Ayam ayam,525.0,700.0,805.0,800.0,768.0,704.0,1851.5,1872,1770,1290,1200,0.0,12285.5
Pelagis Besar,Bawal laut,21525.0,4480.0,10605.0,8704.0,1344.0,1984.0,1560.0,870,300,510,0,1265.0,53147.0
Pelagis Kecil,Bentong,1820.0,3710.0,1225.0,768.0,1440.0,1152.0,450.0,600,690,1050,9000,0.0,21905.0
Pelagis Besar,Cakalang,102375.0,133241.5,179200.0,217280.0,190976.0,133536.0,210690.0,183630,210150,230040,184050,167447.5,2142616.0
Demersal,Cucut,1225.0,525.0,700.0,1120.0,2240.0,384.0,240.0,300,300,360,600,0.0,7994.0
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,4546.5,15540.0,4620.0,4886.4,3552.0,2144.0,4164.0,4350,8400,5490,6900,4565.0,69157.9
Demersal,Golok golok,658.0,931.0,511.0,1017.6,1184.0,1088.0,1365.0,990,630,480,0,1402.5,10257.1
Demersal,Gulamah/Tigawaja/Samgeh,6195.0,4095.0,2625.0,1376.0,1088.0,1728.0,2370.0,5685,6300,4500,2880,10120.0,48962.0
Pelagis Besar,ikan pedang,157.5,700.0,656.25,480.0,800.0,1440.0,3000.0,3600,3000,0,0,302.5,14136.25
Demersal,Ikan sebelah,385.0,315.0,735.0,905.6,576.0,256.0,831.0,720,510,570,0,550.0,6353.6
Pelagis Kecil,Japuh,1050.0,1400.0,1505.0,0.0,1088.0,800.0,600.0,600,690,0,0,0.0,7733.0
Karang (Reef-Associated),Jenaha,630.0,234.5,1540.0,2144.0,352.0,288.0,870.0,600,270,330,0,495.0,7753.5
Karang (Reef-Associated),Kakap Merah,21070.0,1960.0,4025.0,736.0,3136.0,1600.0,2250.0,1128,960,795,1200,3437.5,42297.5
Pelagis Kecil,Kapas kapas,14105.0,10220.0,2765.0,1664.0,4224.0,1472.0,2550.0,6210,11550,14430,13650,14025.0,96865.0
Pelagis Kecil,Kembung,17745.0,5005.0,5757.5,5571.2,1504.0,1030.4,2220.0,1740,3780,3150,3420,4125.0,55048.1
Karang (Reef-Associated),Kerapu,560.0,1190.0,595.0,1024.0,768.0,352.0,720.0,591,420,660,420,495.0,7795.0
Karang (Reef-Associated),kuwe,6615.0,11690.0,4550.0,3680.0,8384.0,6512.0,4950.0,7200,5580,9690,6900,5912.5,81663.5
Demersal,Kuniran/biji nangka,1750.0,2345.0,630.0,1344.0,288.0,416.0,10683.0,1302,525,660,450,825.0,21218.0
Demersal,Kurisi,1855.0,1890.0,1680.0,1376.0,1849.6,921.6,1896.0,7956,6600,19500,25800,6050.0,77374.2
Pelagis Kecil,Laosan,12600.0,9800.0,3360.0,2464.0,1728.0,448.0,9360.0,6030,10860,8280,6750,8910.0,80590.0
Pelagis Kecil,Layang,20650.0,44275.0,49875.0,48320.0,16192.0,12352.0,32460.0,24960,22920,20550,17400,12650.0,322604.0
Pelagis Besar,layaran,805.0,4200.0,1470.0,1888.0,3968.0,8704.0,15690.0,9600,21390,18450,27060,27775.0,141000.0
Pelagis Kecil,Layur,26635.0,26740.0,7385.0,6272.0,7840.0,4902.4,31560.0,61800,54300,63300,58440,44550.0,393724.4
Pelagis Besar,Lemadang,12250.0,12460.0,30065.0,30784.0,18521.6,18521.6,18210.0,12900,16920,10830,6900,3987.5,192349.7
Demersal,Manyung,924.0,5775.0,7175.0,7072.0,12032.0,8064.0,1290.0,1170,810,540,0,990.0,45842.0
Pelagis Besar,Marlin,3066.0,735.0,1505.0,1913.6,601.6,416.0,19200.0,9000,15150,12060,23400,22825.0,109872.2
Demersal,Pari,980.0,1120.0,1680.0,1152.0,2016.0,992.0,2070.0,840,240,420,300,550.0,12360.0
Pelagis Kecil,Peperek,1144.5,3045.0,805.0,672.0,601.6,384.0,2400.0,2010,1590,1320,990,550.0,15512.1
Pelagis Besar,Swanggi,210.0,420.0,420.0,768.0,348.8,672.0,1038.0,858,900,1260,1110,907.5,8912.3
Pelagis Kecil,Selar,1820.0,4900.0,1505.0,1824.0,4928.0,1030.4,1590.0,3450,9840,6300,3960,4400.0,45547.4
Demersal,Tambakan,875.0,700.0,875.0,1440.0,640.0,560.0,0.0,0,300,90,90,0.0,5570.0
Pelagis Kecil,Tembang,1225.0,1050.0,1400.0,1392.0,1734.4,1120.0,1530.0,360,450,0,0,0.0,10261.4
Pelagis Besar,Tenggiri,4900.0,5827.5,3541.125,2736.0,4236.8,3392.0,5940.0,4950,5430,6330,4530,6462.5,58275.925
Pelagis Kecil,Tetengkek,420.0,1750.0,2205.0,736.0,1344.0,704.0,1650.0,684,630,990,0,1045.0,12158.0
Pelagis Besar,Tongkol,50680.0,45920.0,30821.0,30240.0,5856.0,28928.0,112500.0,56148,54240,61125,36360,40122.5,552940.5
Pelagis Besar,Tuna Sirip Kuning,70210.0,89250.0,122500.0,176096.0,126400.0,96320.0,131394.0,111960,147210,165000,151200,123750.0,1511290.0
Pelagis Besar,Tuna Mata Besar,7000.0,17682.0,10710.0,12800.0,12816.0,6560.0,22500.0,9000,9300,15360,18000,51562.5,193290.5
Pelagis Kecil,Teri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
jumlah,,421799.0,476521.5,502656.875,583798.4,447846.39999999997,352198.4,664517.5,547434,635550,686610,614010,572055.0,6504997.075
