jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Pelagis Besar,Tuna Sirip Kuning,2019,12,123750,2019-01-12
Pelagis Besar,Tuna Mata Besar,2019,12,515625,2019-01-12
Pelagis Kecil,Teri,2019,12,0,2019-01-12
jumlah,,2019,12,572055,2019-01-12
Demersal,Tambakan,2019,12,0,2019-01-12
Pelagis Kecil,Laosan,2019,12,8910,2019-01-12
Demersal,Manyung,2019,12,990,2019-01-12
Demersal,Kuniran/biji nangka,2019,12,825,2019-01-12
Demersal,Kurisi,2019,12,6050,2019-01-12
Karang (Reef-Associated),Ayam ayam,2019,12,0,2019-01-12
Pelagis Besar,Bawal laut,2019,12,1265,2019-01-12
Pelagis Kecil,Bentong,2019,12,0,2019-01-12
Pelagis Besar,Cakalang,2019,12,1674475,2019-01-12
Demersal,Cucut,2019,12,0,2019-01-12
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,12,4565,2019-01-12
Demersal,Golok golok,2019,12,14025,2019-01-12
Demersal,Gulamah/Tigawaja/Samgeh,2019,12,10120,2019-01-12
Pelagis Besar,Alu Alu/baracuda,2019,12,0,2019-01-12
Demersal,Ikan sebelah,2019,12,550,2019-01-12
Pelagis Besar,ikan pedang,2019,12,3025,2019-01-12
Karang (Reef-Associated),Kerapu,2019,12,495,2019-01-12
Pelagis Kecil,Kembung,2019,12,4125,2019-01-12
Pelagis Kecil,Kapas kapas,2019,12,14025,2019-01-12
Karang (Reef-Associated),kuwe,2019,12,59125,2019-01-12
Karang (Reef-Associated),Kakap Merah,2019,12,34375,2019-01-12
Karang (Reef-Associated),Jenaha,2019,12,495,2019-01-12
Pelagis Kecil,Japuh,2019,12,0,2019-01-12
Pelagis Kecil,Peperek,2020,1,1825,2020-01-01
Pelagis Kecil,Layur,2020,1,19928,2020-01-01
Pelagis Besar,Lemadang,2020,1,17433,2020-01-01
Demersal,Manyung,2020,1,856,2020-01-01
Pelagis Besar,Marlin,2020,1,7913,2020-01-01
Demersal,Pari,2020,1,674,2020-01-01
Pelagis Besar,layaran,2020,1,6567,2020-01-01
Pelagis Besar,Swanggi,2020,1,517,2020-01-01
Pelagis Kecil,Tetengkek,2020,1,741,2020-01-01
Demersal,Tambakan,2020,1,615,2020-01-01
Pelagis Kecil,Tembang,2020,1,918,2020-01-01
Pelagis Besar,Tenggiri,2020,1,8023,2020-01-01
Pelagis Besar,Tongkol,2020,1,38631,2020-01-01
Pelagis Besar,Tuna Sirip Kuning,2020,1,142385,2020-01-01
Pelagis Besar,Tuna Mata Besar,2020,1,6504,2020-01-01
Pelagis Kecil,Teri,2020,1,0,2020-01-01
Pelagis Kecil,Layang,2020,1,27586,2020-01-01
Pelagis Kecil,Selar,2020,1,2428,2020-01-01
Pelagis Kecil,Laosan,2020,1,3155,2020-01-01
jumlah,,2020,1,418317,2020-01-01
Demersal,Kuniran/biji nangka,2020,1,2598,2020-01-01
Pelagis Besar,Alu Alu/baracuda,2020,1,300,2020-01-01
Karang (Reef-Associated),Ayam ayam,2020,1,360,2020-01-01
Pelagis Besar,Bawal laut,2020,1,1071,2020-01-01
Pelagis Kecil,Bentong,2020,1,1488,2020-01-01
Pelagis Besar,Cakalang,2020,1,96022,2020-01-01
Demersal,Cucut,2020,1,626,2020-01-01
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,1,3345,2020-01-01
Demersal,Golok golok,2020,1,846,2020-01-01
Demersal,Gulamah/Tigawaja/Samgeh,2020,1,3791,2020-01-01
Demersal,Kurisi,2020,1,1659,2020-01-01
Demersal,Ikan sebelah,2020,1,700,2020-01-01
Pelagis Kecil,Japuh,2020,1,704,2020-01-01
Karang (Reef-Associated),Jenaha,2020,1,239,2020-01-01
Karang (Reef-Associated),Kakap Merah,2020,1,1507,2020-01-01
Pelagis Kecil,Kapas kapas,2020,1,7150,2020-01-01
Pelagis Kecil,Kembung,2020,1,1925,2020-01-01
Karang (Reef-Associated),Kerapu,2020,1,408,2020-01-01
Karang (Reef-Associated),kuwe,2020,1,6354,2020-01-01
Pelagis Besar,ikan pedang,2020,1,525,2020-01-01
Demersal,Pari,2020,2,652,2020-01-02
Pelagis Besar,Marlin,2020,2,7864,2020-01-02
Pelagis Besar,layaran,2020,2,6502,2020-01-02
Pelagis Besar,Lemadang,2020,2,17860,2020-01-02
Pelagis Kecil,Layur,2020,2,20560,2020-01-02
Pelagis Kecil,Peperek,2020,2,1832,2020-01-02
Demersal,Manyung,2020,2,830,2020-01-02
Pelagis Besar,Swanggi,2020,2,486,2020-01-02
Pelagis Kecil,Tetengkek,2020,2,659,2020-01-02
Demersal,Tambakan,2020,2,630,2020-01-02
Pelagis Kecil,Tembang,2020,2,930,2020-01-02
Pelagis Besar,Tenggiri,2020,2,7985,2020-01-02
Pelagis Besar,Tongkol,2020,2,38231,2020-01-02
Pelagis Besar,Tuna Sirip Kuning,2020,2,156321,2020-01-02
Pelagis Besar,Tuna Mata Besar,2020,2,6325,2020-01-02
Pelagis Kecil,Teri,2020,2,0,2020-01-02
Pelagis Kecil,Layang,2020,2,27860,2020-01-02
Pelagis Kecil,Selar,2020,2,2456,2020-01-02
Pelagis Kecil,Laosan,2020,2,3050,2020-01-02
jumlah,,2020,2,437972,2020-01-02
Demersal,Kuniran/biji nangka,2020,2,2560,2020-01-02
Demersal,Kurisi,2020,2,1589,2020-01-02
Pelagis Besar,Alu Alu/baracuda,2020,2,476,2020-01-02
Karang (Reef-Associated),Ayam ayam,2020,2,465,2020-01-02
Pelagis Besar,Bawal laut,2020,2,1051,2020-01-02
Pelagis Kecil,Bentong,2020,2,1800,2020-01-02
Pelagis Besar,Cakalang,2020,2,100671,2020-01-02
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,2,3506,2020-01-02
Demersal,Golok golok,2020,2,796,2020-01-02
Demersal,Gulamah/Tigawaja/Samgeh,2020,2,3780,2020-01-02
Demersal,Cucut,2020,2,598,2020-01-02
Demersal,Ikan sebelah,2020,2,735,2020-01-02
Pelagis Besar,ikan pedang,2020,2,520,2020-01-02
Karang (Reef-Associated),Kerapu,2020,2,468,2020-01-02
Pelagis Kecil,Kembung,2020,2,1901,2020-01-02
Pelagis Kecil,Kapas kapas,2020,2,7030,2020-01-02
Karang (Reef-Associated),kuwe,2020,2,6540,2020-01-02
Karang (Reef-Associated),Jenaha,2020,2,253,2020-01-02
Pelagis Kecil,Japuh,2020,2,735,2020-01-02
Karang (Reef-Associated),Kakap Merah,2020,2,1465,2020-01-02
Pelagis Kecil,Layang,2020,3,27456,2020-01-03
Pelagis Besar,layaran,2020,3,6541,2020-01-03
Pelagis Kecil,Layur,2020,3,20805,2020-01-03
Demersal,Manyung,2020,3,812,2020-01-03
Pelagis Besar,Marlin,2020,3,6805,2020-01-03
Demersal,Pari,2020,3,632,2020-01-03
Pelagis Kecil,Peperek,2020,3,1856,2020-01-03
Pelagis Besar,Swanggi,2020,3,495,2020-01-03
Pelagis Kecil,Selar,2020,3,2413,2020-01-03
Pelagis Kecil,Tembang,2020,3,925,2020-01-03
Pelagis Kecil,Laosan,2020,3,2780,2020-01-03
Pelagis Kecil,Tetengkek,2020,3,696,2020-01-03
Pelagis Besar,Tongkol,2020,3,37560,2020-01-03
Pelagis Besar,Tuna Sirip Kuning,2020,3,140151,2020-01-03
Pelagis Besar,Tuna Mata Besar,2020,3,6251,2020-01-03
Pelagis Kecil,Teri,2020,3,0,2020-01-03
jumlah,,2020,3,502837,2020-01-03
Demersal,Tambakan,2020,3,654,2020-01-03
Pelagis Besar,Tenggiri,2020,3,8501,2020-01-03
Pelagis Besar,Lemadang,2020,3,16580,2020-01-03
Karang (Reef-Associated),kuwe,2020,3,5980,2020-01-03
Demersal,Kuniran/biji nangka,2020,3,2146,2020-01-03
Pelagis Besar,Alu Alu/baracuda,2020,3,550,2020-01-03
Karang (Reef-Associated),Ayam ayam,2020,3,650,2020-01-03
Pelagis Besar,Bawal laut,2020,3,1056,2020-01-03
Pelagis Kecil,Bentong,2020,3,2100,2020-01-03
Pelagis Besar,Cakalang,2020,3,186000,2020-01-03
Demersal,Cucut,2020,3,789,2020-01-03
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,3,2986,2020-01-03
Demersal,Golok golok,2020,3,950,2020-01-03
Demersal,Kurisi,2020,3,1458,2020-01-03
Pelagis Besar,ikan pedang,2020,3,496,2020-01-03
Demersal,Gulamah/Tigawaja/Samgeh,2020,3,3560,2020-01-03
Pelagis Kecil,Kembung,2020,3,1983,2020-01-03
Pelagis Kecil,Kapas kapas,2020,3,6580,2020-01-03
Karang (Reef-Associated),Kerapu,2020,3,436,2020-01-03
Karang (Reef-Associated),Jenaha,2020,3,242,2020-01-03
Pelagis Kecil,Japuh,2020,3,553,2020-01-03
Demersal,Ikan sebelah,2020,3,620,2020-01-03
Karang (Reef-Associated),Kakap Merah,2020,3,1789,2020-01-03
Pelagis Besar,layaran,2020,4,6213,2020-01-04
Pelagis Kecil,Peperek,2020,4,1872,2020-01-04
Pelagis Kecil,Layur,2020,4,19550,2020-01-04
Pelagis Besar,Lemadang,2020,4,18018,2020-01-04
Demersal,Manyung,2020,4,856,2020-01-04
Pelagis Besar,Marlin,2020,4,8302,2020-01-04
Demersal,Pari,2020,4,656,2020-01-04
Pelagis Besar,Swanggi,2020,4,520,2020-01-04
Pelagis Kecil,Tetengkek,2020,4,720,2020-01-04
Demersal,Tambakan,2020,4,680,2020-01-04
Pelagis Kecil,Tembang,2020,4,914,2020-01-04
Pelagis Besar,Tenggiri,2020,4,7560,2020-01-04
Pelagis Besar,Tongkol,2020,4,36893,2020-01-04
Pelagis Besar,Tuna Sirip Kuning,2020,4,132560,2020-01-04
Pelagis Besar,Tuna Mata Besar,2020,4,6152,2020-01-04
Pelagis Kecil,Teri,2020,4,0,2020-01-04
Pelagis Kecil,Layang,2020,4,27830,2020-01-04
Pelagis Kecil,Selar,2020,4,2335,2020-01-04
jumlah,,2020,4,497338,2020-01-04
Pelagis Kecil,Laosan,2020,4,2980,2020-01-04
Demersal,Kuniran/biji nangka,2020,4,2386,2020-01-04
Pelagis Besar,Alu Alu/baracuda,2020,4,619,2020-01-04
Karang (Reef-Associated),Ayam ayam,2020,4,420,2020-01-04
Pelagis Besar,Bawal laut,2020,4,1002,2020-01-04
Pelagis Kecil,Bentong,2020,4,1050,2020-01-04
Pelagis Besar,Cakalang,2020,4,186500,2020-01-04
Demersal,Cucut,2020,4,543,2020-01-04
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,4,2886,2020-01-04
Demersal,Golok golok,2020,4,709,2020-01-04
Demersal,Gulamah/Tigawaja/Samgeh,2020,4,3937,2020-01-04
Demersal,Kurisi,2020,4,1705,2020-01-04
Demersal,Ikan sebelah,2020,4,542,2020-01-04
Pelagis Kecil,Japuh,2020,4,598,2020-01-04
Karang (Reef-Associated),Jenaha,2020,4,215,2020-01-04
Karang (Reef-Associated),Kakap Merah,2020,4,1235,2020-01-04
Pelagis Kecil,Kapas kapas,2020,4,9803,2020-01-04
Pelagis Kecil,Kembung,2020,4,1856,2020-01-04
Karang (Reef-Associated),Kerapu,2020,4,302,2020-01-04
Karang (Reef-Associated),kuwe,2020,4,5883,2020-01-04
Pelagis Besar,ikan pedang,2020,4,536,2020-01-04
Pelagis Kecil,Peperek,2020,5,1868,2020-01-05
Demersal,Pari,2020,5,702,2020-01-05
Pelagis Besar,Marlin,2020,5,7320,2020-01-05
Pelagis Besar,layaran,2020,5,6801,2020-01-05
Pelagis Besar,Lemadang,2020,5,17230,2020-01-05
Pelagis Kecil,Layur,2020,5,20145,2020-01-05
Pelagis Besar,Swanggi,2020,5,508,2020-01-05
Demersal,Manyung,2020,5,832,2020-01-05
Pelagis Kecil,Selar,2020,5,2450,2020-01-05
Pelagis Kecil,Tetengkek,2020,5,692,2020-01-05
Pelagis Kecil,Tembang,2020,5,891,2020-01-05
Pelagis Besar,Tenggiri,2020,5,8540,2020-01-05
Pelagis Besar,Tongkol,2020,5,36560,2020-01-05
Pelagis Besar,Tuna Sirip Kuning,2020,5,156040,2020-01-05
Pelagis Besar,Tuna Mata Besar,2020,5,6601,2020-01-05
Pelagis Kecil,Teri,2020,5,0,2020-01-05
jumlah,,2020,5,482302,2020-01-05
Pelagis Kecil,Layang,2020,5,26805,2020-01-05
Demersal,Tambakan,2020,5,621,2020-01-05
Pelagis Kecil,Laosan,2020,5,3055,2020-01-05
Demersal,Kurisi,2020,5,2122,2020-01-05
Demersal,Kuniran/biji nangka,2020,5,2443,2020-01-05
Karang (Reef-Associated),Ayam ayam,2020,5,633,2020-01-05
Pelagis Besar,Bawal laut,2020,5,1248,2020-01-05
Pelagis Kecil,Bentong,2020,5,1650,2020-01-05
Pelagis Besar,Cakalang,2020,5,148836,2020-01-05
Demersal,Cucut,2020,5,469,2020-01-05
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,5,3560,2020-01-05
Demersal,Golok golok,2020,5,786,2020-01-05
Demersal,Gulamah/Tigawaja/Samgeh,2020,5,4005,2020-01-05
Pelagis Besar,Alu Alu/baracuda,2020,5,560,2020-01-05
Demersal,Ikan sebelah,2020,5,635,2020-01-05
Pelagis Kecil,Japuh,2020,5,603,2020-01-05
Karang (Reef-Associated),Jenaha,2020,5,245,2020-01-05
Karang (Reef-Associated),Kakap Merah,2020,5,1573,2020-01-05
Pelagis Kecil,Kapas kapas,2020,5,6530,2020-01-05
Pelagis Kecil,Kembung,2020,5,1788,2020-01-05
Karang (Reef-Associated),Kerapu,2020,5,488,2020-01-05
Karang (Reef-Associated),kuwe,2020,5,5978,2020-01-05
Pelagis Besar,ikan pedang,2020,5,489,2020-01-05
Demersal,Pari,2020,6,730,2020-01-06
Pelagis Besar,Marlin,2020,6,8325,2020-01-06
Pelagis Besar,layaran,2020,6,6540,2020-01-06
Pelagis Besar,Lemadang,2020,6,17803,2020-01-06
Pelagis Kecil,Layur,2020,6,19253,2020-01-06
Pelagis Kecil,Peperek,2020,6,1856,2020-01-06
Demersal,Manyung,2020,6,903,2020-01-06
Pelagis Besar,Swanggi,2020,6,532,2020-01-06
Pelagis Kecil,Tetengkek,2020,6,655,2020-01-06
Demersal,Tambakan,2020,6,671,2020-01-06
Pelagis Kecil,Tembang,2020,6,970,2020-01-06
Pelagis Besar,Tenggiri,2020,6,7851,2020-01-06
Pelagis Besar,Tongkol,2020,6,35501,2020-01-06
Pelagis Besar,Tuna Sirip Kuning,2020,6,132050,2020-01-06
Pelagis Besar,Tuna Mata Besar,2020,6,6321,2020-01-06
Pelagis Kecil,Teri,2020,6,0,2020-01-06
Pelagis Kecil,Layang,2020,6,27456,2020-01-06
Pelagis Kecil,Selar,2020,6,2432,2020-01-06
Pelagis Kecil,Laosan,2020,6,3120,2020-01-06
jumlah,,2020,6,565406,2020-01-06
Demersal,Kuniran/biji nangka,2020,6,2689,2020-01-06
Pelagis Besar,Alu Alu/baracuda,2020,6,668,2020-01-06
Karang (Reef-Associated),Ayam ayam,2020,6,514,2020-01-06
Pelagis Besar,Bawal laut,2020,6,1008,2020-01-06
Pelagis Kecil,Bentong,2020,6,1980,2020-01-06
Pelagis Besar,Cakalang,2020,6,256733,2020-01-06
Demersal,Cucut,2020,6,596,2020-01-06
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,6,3056,2020-01-06
Demersal,Golok golok,2020,6,1030,2020-01-06
Demersal,Gulamah/Tigawaja/Samgeh,2020,6,3640,2020-01-06
Demersal,Kurisi,2020,6,1413,2020-01-06
Demersal,Ikan sebelah,2020,6,835,2020-01-06
Pelagis Kecil,Japuh,2020,6,785,2020-01-06
Karang (Reef-Associated),Jenaha,2020,6,180,2020-01-06
Karang (Reef-Associated),Kakap Merah,2020,6,1523,2020-01-06
Pelagis Kecil,Kapas kapas,2020,6,6856,2020-01-06
Pelagis Kecil,Kembung,2020,6,1685,2020-01-06
Karang (Reef-Associated),Kerapu,2020,6,496,2020-01-06
Karang (Reef-Associated),kuwe,2020,6,6320,2020-01-06
Pelagis Besar,ikan pedang,2020,6,430,2020-01-06
Demersal,Pari,2020,7,756,2020-01-07
Pelagis Besar,Marlin,2020,7,8850,2020-01-07
Pelagis Besar,layaran,2020,7,6471,2020-01-07
Pelagis Besar,Lemadang,2020,7,17060,2020-01-07
Pelagis Kecil,Layur,2020,7,19320,2020-01-07
Pelagis Kecil,Peperek,2020,7,1832,2020-01-07
Demersal,Manyung,2020,7,915,2020-01-07
Pelagis Besar,Swanggi,2020,7,503,2020-01-07
Pelagis Kecil,Tetengkek,2020,7,687,2020-01-07
Demersal,Tambakan,2020,7,520,2020-01-07
Pelagis Kecil,Tembang,2020,7,956,2020-01-07
Pelagis Besar,Tenggiri,2020,7,8565,2020-01-07
Pelagis Besar,Tongkol,2020,7,36530,2020-01-07
Pelagis Besar,Tuna Sirip Kuning,2020,7,136856,2020-01-07
Pelagis Besar,Tuna Mata Besar,2020,7,6215,2020-01-07
Pelagis Kecil,Teri,2020,7,0,2020-01-07
Pelagis Kecil,Layang,2020,7,27560,2020-01-07
Pelagis Kecil,Selar,2020,7,2193,2020-01-07
Pelagis Kecil,Laosan,2020,7,2950,2020-01-07
jumlah,,2020,7,503023,2020-01-07
Demersal,Kuniran/biji nangka,2020,7,2135,2020-01-07
Pelagis Besar,Alu Alu/baracuda,2020,7,650,2020-01-07
Karang (Reef-Associated),Ayam ayam,2020,7,489,2020-01-07
Pelagis Besar,Bawal laut,2020,7,1032,2020-01-07
Pelagis Kecil,Bentong,2020,7,1880,2020-01-07
Pelagis Besar,Cakalang,2020,7,186476,2020-01-07
Demersal,Cucut,2020,7,732,2020-01-07
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,7,3426,2020-01-07
Demersal,Golok golok,2020,7,832,2020-01-07
Demersal,Gulamah/Tigawaja/Samgeh,2020,7,4056,2020-01-07
Demersal,Kurisi,2020,7,1555,2020-01-07
Demersal,Ikan sebelah,2020,7,795,2020-01-07
Pelagis Kecil,Japuh,2020,7,732,2020-01-07
Karang (Reef-Associated),Jenaha,2020,7,213,2020-01-07
Karang (Reef-Associated),Kakap Merah,2020,7,1620,2020-01-07
Pelagis Kecil,Kapas kapas,2020,7,7890,2020-01-07
Pelagis Kecil,Kembung,2020,7,2010,2020-01-07
Karang (Reef-Associated),Kerapu,2020,7,391,2020-01-07
Karang (Reef-Associated),kuwe,2020,7,6830,2020-01-07
Pelagis Besar,ikan pedang,2020,7,540,2020-01-07
Demersal,Pari,2020,8,656,2020-01-08
Pelagis Besar,Marlin,2020,8,8985,2020-01-08
Demersal,Manyung,2020,8,825,2020-01-08
Pelagis Kecil,Layang,2020,8,27860,2020-01-08
Pelagis Kecil,Layur,2020,8,20560,2020-01-08
Pelagis Besar,layaran,2020,8,6423,2020-01-08
Pelagis Kecil,Peperek,2020,8,1892,2020-01-08
Pelagis Besar,Lemadang,2020,8,18006,2020-01-08
Pelagis Besar,Swanggi,2020,8,512,2020-01-08
Pelagis Besar,Tenggiri,2020,8,7225,2020-01-08
Demersal,Tambakan,2020,8,541,2020-01-08
Pelagis Kecil,Tembang,2020,8,903,2020-01-08
Pelagis Kecil,Tetengkek,2020,8,732,2020-01-08
Pelagis Besar,Tongkol,2020,8,37560,2020-01-08
Pelagis Besar,Tuna Sirip Kuning,2020,8,138560,2020-01-08
Pelagis Besar,Tuna Mata Besar,2020,8,6152,2020-01-08
Pelagis Kecil,Teri,2020,8,0,2020-01-08
Pelagis Kecil,Laosan,2020,8,3005,2020-01-08
Pelagis Kecil,Selar,2020,8,2120,2020-01-08
jumlah,,2020,8,491126,2020-01-08
Demersal,Kurisi,2020,8,1658,2020-01-08
Karang (Reef-Associated),kuwe,2020,8,5984,2020-01-08
Demersal,Kuniran/biji nangka,2020,8,2004,2020-01-08
Pelagis Besar,Alu Alu/baracuda,2020,8,769,2020-01-08
Karang (Reef-Associated),Ayam ayam,2020,8,730,2020-01-08
Pelagis Besar,Bawal laut,2020,8,932,2020-01-08
Pelagis Kecil,Bentong,2020,8,1875,2020-01-08
Demersal,Cucut,2020,8,803,2020-01-08
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,8,3456,2020-01-08
Demersal,Golok golok,2020,8,736,2020-01-08
Pelagis Besar,Cakalang,2020,8,173056,2020-01-08
Pelagis Besar,ikan pedang,2020,8,732,2020-01-08
Demersal,Ikan sebelah,2020,8,635,2020-01-08
Pelagis Kecil,Japuh,2020,8,783,2020-01-08
Karang (Reef-Associated),Jenaha,2020,8,373,2020-01-08
Karang (Reef-Associated),Kakap Merah,2020,8,1058,2020-01-08
Pelagis Kecil,Kapas kapas,2020,8,7050,2020-01-08
Pelagis Kecil,Kembung,2020,8,1860,2020-01-08
Demersal,Gulamah/Tigawaja/Samgeh,2020,8,3737,2020-01-08
Karang (Reef-Associated),Kerapu,2020,8,378,2020-01-08
Pelagis Kecil,Peperek,2020,9,1864,2020-01-09
Demersal,Pari,2020,9,620,2020-01-09
Pelagis Besar,Marlin,2020,9,7334,2020-01-09
Pelagis Besar,layaran,2020,9,6004,2020-01-09
Pelagis Besar,Lemadang,2020,9,17530,2020-01-09
Pelagis Kecil,Layur,2020,9,20056,2020-01-09
Pelagis Besar,Swanggi,2020,9,602,2020-01-09
Demersal,Manyung,2020,9,805,2020-01-09
Pelagis Kecil,Selar,2020,9,2986,2020-01-09
jumlah,,2020,9,487668,2020-01-09
Pelagis Kecil,Tembang,2020,9,886,2020-01-09
Pelagis Besar,Tenggiri,2020,9,7986,2020-01-09
Pelagis Kecil,Tetengkek,2020,9,756,2020-01-09
Pelagis Besar,Tongkol,2020,9,52032,2020-01-09
Pelagis Besar,Tuna Sirip Kuning,2020,9,125605,2020-01-09
Pelagis Besar,Tuna Mata Besar,2020,9,6381,2020-01-09
Pelagis Kecil,Teri,2020,9,0,2020-01-09
Pelagis Kecil,Layang,2020,9,27586,2020-01-09
Demersal,Tambakan,2020,9,510,2020-01-09
Pelagis Kecil,Laosan,2020,9,3560,2020-01-09
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,9,3654,2020-01-09
Demersal,Kuniran/biji nangka,2020,9,2756,2020-01-09
Pelagis Besar,Alu Alu/baracuda,2020,9,521,2020-01-09
Karang (Reef-Associated),Ayam ayam,2020,9,764,2020-01-09
Pelagis Besar,Bawal laut,2020,9,1150,2020-01-09
Pelagis Kecil,Bentong,2020,9,1650,2020-01-09
Pelagis Besar,Cakalang,2020,9,165882,2020-01-09
Demersal,Kurisi,2020,9,1835,2020-01-09
Demersal,Golok golok,2020,9,890,2020-01-09
Demersal,Gulamah/Tigawaja/Samgeh,2020,9,3560,2020-01-09
Demersal,Cucut,2020,9,626,2020-01-09
Demersal,Ikan sebelah,2020,9,895,2020-01-09
Pelagis Besar,ikan pedang,2020,9,452,2020-01-09
Karang (Reef-Associated),Kerapu,2020,9,365,2020-01-09
Pelagis Kecil,Kembung,2020,9,2632,2020-01-09
Pelagis Kecil,Kapas kapas,2020,9,7501,2020-01-09
Karang (Reef-Associated),kuwe,2020,9,6729,2020-01-09
Karang (Reef-Associated),Jenaha,2020,9,231,2020-01-09
Pelagis Kecil,Japuh,2020,9,852,2020-01-09
Karang (Reef-Associated),Kakap Merah,2020,9,1620,2020-01-09
Pelagis Besar,Swanggi,2020,10,432,2020-01-10
Pelagis Besar,layaran,2020,10,6840,2020-01-10
Pelagis Kecil,Layur,2020,10,19850,2020-01-10
Pelagis Besar,Lemadang,2020,10,17030,2020-01-10
Demersal,Manyung,2020,10,873,2020-01-10
Pelagis Besar,Marlin,2020,10,8056,2020-01-10
Demersal,Pari,2020,10,654,2020-01-10
Pelagis Kecil,Peperek,2020,10,1730,2020-01-10
Pelagis Kecil,Selar,2020,10,2532,2020-01-10
jumlah,,2020,10,506079,2020-01-10
Pelagis Kecil,Tembang,2020,10,975,2020-01-10
Pelagis Besar,Tenggiri,2020,10,8732,2020-01-10
Pelagis Kecil,Tetengkek,2020,10,714,2020-01-10
Pelagis Besar,Tongkol,2020,10,38625,2020-01-10
Pelagis Besar,Tuna Sirip Kuning,2020,10,125320,2020-01-10
Pelagis Besar,Tuna Mata Besar,2020,10,6856,2020-01-10
Pelagis Kecil,Teri,2020,10,0,2020-01-10
Pelagis Kecil,Layang,2020,10,27320,2020-01-10
Demersal,Tambakan,2020,10,602,2020-01-10
Pelagis Kecil,Laosan,2020,10,3760,2020-01-10
Demersal,Kurisi,2020,10,1689,2020-01-10
Demersal,Kuniran/biji nangka,2020,10,2856,2020-01-10
Karang (Reef-Associated),Ayam ayam,2020,10,620,2020-01-10
Pelagis Besar,Bawal laut,2020,10,1028,2020-01-10
Pelagis Kecil,Bentong,2020,10,1816,2020-01-10
Pelagis Besar,Cakalang,2020,10,198560,2020-01-10
Demersal,Cucut,2020,10,626,2020-01-10
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,10,3201,2020-01-10
Demersal,Golok golok,2020,10,893,2020-01-10
Demersal,Gulamah/Tigawaja/Samgeh,2020,10,4020,2020-01-10
Pelagis Besar,Alu Alu/baracuda,2020,10,630,2020-01-10
Demersal,Ikan sebelah,2020,10,918,2020-01-10
Pelagis Kecil,Japuh,2020,10,798,2020-01-10
Karang (Reef-Associated),Jenaha,2020,10,210,2020-01-10
Karang (Reef-Associated),Kakap Merah,2020,10,1550,2020-01-10
Pelagis Kecil,Kapas kapas,2020,10,6835,2020-01-10
Pelagis Kecil,Kembung,2020,10,1680,2020-01-10
Karang (Reef-Associated),Kerapu,2020,10,425,2020-01-10
Karang (Reef-Associated),kuwe,2020,10,6300,2020-01-10
Pelagis Besar,ikan pedang,2020,10,523,2020-01-10
Demersal,Pari,2020,11,703,2020-01-11
Pelagis Besar,Marlin,2020,11,7356,2020-01-11
Pelagis Besar,layaran,2020,11,6600,2020-01-11
Pelagis Besar,Lemadang,2020,11,17080,2020-01-11
Pelagis Kecil,Layur,2020,11,20450,2020-01-11
Pelagis Kecil,Peperek,2020,11,1760,2020-01-11
Demersal,Manyung,2020,11,889,2020-01-11
Pelagis Besar,Swanggi,2020,11,613,2020-01-11
Pelagis Kecil,Tetengkek,2020,11,922,2020-01-11
Demersal,Tambakan,2020,11,656,2020-01-11
Pelagis Kecil,Tembang,2020,11,845,2020-01-11
Pelagis Besar,Tenggiri,2020,11,7956,2020-01-11
Pelagis Besar,Tongkol,2020,11,38205,2020-01-11
Pelagis Besar,Tuna Sirip Kuning,2020,11,156350,2020-01-11
Pelagis Besar,Tuna Mata Besar,2020,11,6965,2020-01-11
Pelagis Kecil,Teri,2020,11,0,2020-01-11
Pelagis Kecil,Layang,2020,11,27856,2020-01-11
Pelagis Kecil,Selar,2020,11,2140,2020-01-11
Pelagis Kecil,Laosan,2020,11,2890,2020-01-11
jumlah,,2020,11,588146,2020-01-11
Demersal,Kuniran/biji nangka,2020,11,2560,2020-01-11
Pelagis Besar,Alu Alu/baracuda,2020,11,502,2020-01-11
Karang (Reef-Associated),Ayam ayam,2020,11,611,2020-01-11
Pelagis Besar,Bawal laut,2020,11,986,2020-01-11
Pelagis Kecil,Bentong,2020,11,1705,2020-01-11
Pelagis Besar,Cakalang,2020,11,252500,2020-01-11
Demersal,Cucut,2020,11,626,2020-01-11
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2020,11,3567,2020-01-11
Demersal,Golok golok,2020,11,730,2020-01-11
Demersal,Gulamah/Tigawaja/Samgeh,2020,11,3646,2020-01-11
Demersal,Kurisi,2020,11,1602,2020-01-11
Demersal,Ikan sebelah,2020,11,695,2020-01-11
Pelagis Kecil,Japuh,2020,11,620,2020-01-11
