jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Pelagis Besar,Cakalang,2019,3,179200,2019-01-03
Demersal,Cucut,2019,3,700,2019-01-03
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,3,4620,2019-01-03
Demersal,Golok golok,2019,3,511,2019-01-03
Demersal,Gulamah/Tigawaja/Samgeh,2019,3,2625,2019-01-03
Pelagis Besar,ikan pedang,2019,3,65625,2019-01-03
Pelagis Besar,Alu Alu/baracuda,2019,3,630,2019-01-03
Demersal,Ikan sebelah,2019,3,735,2019-01-03
Pelagis Kecil,Japuh,2019,3,1505,2019-01-03
Karang (Reef-Associated),Jenaha,2019,3,1540,2019-01-03
Karang (Reef-Associated),Kakap Merah,2019,3,4025,2019-01-03
Pelagis Kecil,Kapas kapas,2019,3,2765,2019-01-03
Pelagis Kecil,Kembung,2019,3,57575,2019-01-03
Karang (Reef-Associated),Kerapu,2019,3,595,2019-01-03
Karang (Reef-Associated),kuwe,2019,3,4550,2019-01-03
Demersal,Kurisi,2019,3,1680,2019-01-03
Demersal,Pari,2019,4,1152,2019-01-04
Pelagis Besar,Marlin,2019,4,19136,2019-01-04
Pelagis Besar,layaran,2019,4,1888,2019-01-04
Pelagis Besar,Lemadang,2019,4,30784,2019-01-04
Pelagis Kecil,Layur,2019,4,6272,2019-01-04
Pelagis Kecil,Peperek,2019,4,672,2019-01-04
Demersal,Manyung,2019,4,7072,2019-01-04
Pelagis Besar,Swanggi,2019,4,768,2019-01-04
Pelagis Kecil,Tetengkek,2019,4,736,2019-01-04
Demersal,Tambakan,2019,4,1440,2019-01-04
Pelagis Kecil,Tembang,2019,4,1392,2019-01-04
Pelagis Besar,Tenggiri,2019,4,2736,2019-01-04
Pelagis Besar,Tongkol,2019,4,30240,2019-01-04
Pelagis Besar,Tuna Sirip Kuning,2019,4,176096,2019-01-04
Pelagis Besar,Tuna Mata Besar,2019,4,12800,2019-01-04
Pelagis Kecil,Teri,2019,4,0,2019-01-04
Pelagis Kecil,Layang,2019,4,48320,2019-01-04
Pelagis Kecil,Selar,2019,4,1824,2019-01-04
Pelagis Kecil,Laosan,2019,4,2464,2019-01-04
jumlah,,2019,4,5837984,2019-01-04
Demersal,Kuniran/biji nangka,2019,4,1344,2019-01-04
Pelagis Besar,Alu Alu/baracuda,2019,4,352,2019-01-04
Karang (Reef-Associated),Ayam ayam,2019,4,800,2019-01-04
Pelagis Besar,Bawal laut,2019,4,8704,2019-01-04
Pelagis Kecil,Bentong,2019,4,768,2019-01-04
Pelagis Besar,Cakalang,2019,4,217280,2019-01-04
Demersal,Cucut,2019,4,1120,2019-01-04
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,4,48864,2019-01-04
Demersal,Golok golok,2019,4,10176,2019-01-04
Demersal,Gulamah/Tigawaja/Samgeh,2019,4,1376,2019-01-04
Demersal,Kurisi,2019,4,1376,2019-01-04
Demersal,Ikan sebelah,2019,4,9056,2019-01-04
Pelagis Kecil,Japuh,2019,4,0,2019-01-04
Karang (Reef-Associated),Jenaha,2019,4,2144,2019-01-04
Karang (Reef-Associated),Kakap Merah,2019,4,736,2019-01-04
Pelagis Kecil,Kapas kapas,2019,4,1664,2019-01-04
Pelagis Kecil,Kembung,2019,4,55712,2019-01-04
Karang (Reef-Associated),Kerapu,2019,4,1024,2019-01-04
Karang (Reef-Associated),kuwe,2019,4,3680,2019-01-04
Pelagis Besar,ikan pedang,2019,4,480,2019-01-04
Demersal,Pari,2019,5,2016,2019-01-05
Pelagis Besar,Marlin,2019,5,6016,2019-01-05
Demersal,Manyung,2019,5,12032,2019-01-05
Pelagis Kecil,Layang,2019,5,16192,2019-01-05
Pelagis Kecil,Layur,2019,5,7840,2019-01-05
Pelagis Besar,layaran,2019,5,3968,2019-01-05
Pelagis Kecil,Peperek,2019,5,6016,2019-01-05
Pelagis Besar,Lemadang,2019,5,185216,2019-01-05
Pelagis Besar,Swanggi,2019,5,3488,2019-01-05
Pelagis Besar,Tenggiri,2019,5,42368,2019-01-05
Demersal,Tambakan,2019,5,640,2019-01-05
Pelagis Kecil,Tembang,2019,5,17344,2019-01-05
Pelagis Kecil,Tetengkek,2019,5,1344,2019-01-05
Pelagis Besar,Tongkol,2019,5,5856,2019-01-05
Pelagis Besar,Tuna Sirip Kuning,2019,5,126400,2019-01-05
Pelagis Besar,Tuna Mata Besar,2019,5,12816,2019-01-05
Pelagis Kecil,Teri,2019,5,0,2019-01-05
Pelagis Kecil,Laosan,2019,5,1728,2019-01-05
Pelagis Kecil,Selar,2019,5,4928,2019-01-05
jumlah,,2019,5,4478464,2019-01-05
Demersal,Kurisi,2019,5,18496,2019-01-05
Karang (Reef-Associated),kuwe,2019,5,8384,2019-01-05
