jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Karang (Reef-Associated),Ayam-ayam,5346.0,2496.0,2070.0,3420.0,4674.0,6199.2,3078.0,4374.0,4949.6,5500.0,3474.9,4318.690909090909,49900.390909090915
Pelagis Besar,Bawal Laut,112.5,384.0,540.0,180.0,344.4,738.0,480.6,734.4,524.4,1073.6000000000001,1419.0,653.6727272727273,7184.572727272728
Pelagis Besar,Cakalang ,113643.0,59114.64750000001,85632.79499999998,127770.75,164177.44,226357.6,179860.0,287497.69999999995,277552.86000000004,170107.0,125209.125,162603.3181818182,1979526.2356818183
Pelagis Besar,Cendro ,3198.0,2627.0,1476.0,6273.0,3702.4,9794.4,2844.6,4098.599999999999,2662.4,5896.8,5698.5,4466.818181818182,52738.51818181819
Pelagis Kecil,Ekor Kuning ,725.6999999999999,497.0,1476.0,1291.5,5197.6,15582.0,4092.0,2772.0,25866.239999999998,12107.2,7090.5,7525.672727272727,84223.41272727272
Demersal,Gabus Laut ,246.0,568.0,940.9499999999999,799.5,768.9599999999999,2122.12,1122.0,858.0,1745.92,23458.4,3697.5,3650.672727272728,39978.022727272735
Demersal,Gerot-gerot ,9655.5,14320.7,10664.099999999999,14083.5,10267.039999999999,17140.2,4950.0,7920.0,9333.759999999998,13283.2,6307.5,7303.6,125229.1
Demersal,Golok-golok ,922.5,852.0,731.8499999999999,2091.0,2100.4,3116.4,1386.0,3781.8,4295.679999999999,7968.8,7786.5,3539.072727272727,38572.00272727273
Demersal,Gulamah ,1230.0,1029.5,1291.5,5842.5,5119.28,3413.2,3861.0,6943.2,7997.44,25356.799999999996,22185.0,8742.563636363637,93011.98363636364
Karang (Reef-Associated),Kakap ,498.0,516.0,439.90000000000003,481.40000000000003,1032.0,1566.0,546.0,655.2,702.0,1213.6,1176.0,872.2545454545456,9698.354545454546
Karang (Reef-Associated),Kakap Batu ,1079.0,258.0,1411.0,581.0,185.4,424.36,407.1,548.7,710.36,592.0,296.0,323.09090909090907,6816.010909090909
Karang (Reef-Associated),Kakap Jenaha ,439.90000000000003,215.0,747.0,879.8000000000001,731.0,1513.8,924.0,1192.8,734.5,1731.6,1153.6000000000001,1009.5818181818183,11272.581818181818
Karang (Reef-Associated),Kakap Merah ,1814.25,568.0,645.75,861.0,925.6,1113.0,858.0,1023.0,1049.6,1769.6,1609.5,1170.1090909090908,13407.409090909092
Pelagis Kecil,Kapas-kapas ,6660.0,5203.0,2754.0,1620.0,2674.6,4665.0,3332.7,14805.0,15953.7,20802.65,17613.0,10091.90909090909,106175.55909090908
Pelagis Kecil,Kembung Lelaki ,567.3000000000001,824.0,748.6499999999999,6603.0,9960.3,16260.0,11658.35,11570.46,12172.559999999998,17427.9,5705.0,5259.490909090909,98757.0109090909
Pelagis Kecil,Kembung Perempuan ,2464.5,1751.0,8649.0,9021.0,8010.4,9918.6,3794.7799999999997,4771.910000000001,4699.38,20055.200000000004,14588.0,3644.9454545454555,91368.71545454545
Karang (Reef-Associated),Kerapu,1746.6000000000001,639.0,817.9499999999999,571.9499999999999,356.0,764.2599999999999,1009.8,1366.1999999999998,1413.12,1713.6,1044.0,1090.6363636363635,12533.116363636365
Demersal,Kuniran,1291.5,568.0,1629.75,2337.0,1836.9599999999998,2300.2,3082.2,4890.599999999999,10567.679999999998,15456.0,9626.55,5494.327272727272,59080.76727272727
Demersal,Kurisi ,6642.0,7597.0,6820.349999999999,7847.400000000001,2976.16,3932.6,4309.8,4290.0,11729.92,9816.8,5768.1,4597.018181818182,76327.1481818182
