jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Pelagis Besar,Alu Alu/baracuda,450.0,360.0,310.0,641.0,462,346,446.0,247.0,248,349,590,591,5040.0
Karang (Reef-Associated),Ayam ayam,950.0,1125.0,1000.0,1602.5,1000,900,3250.0,1625.0,750,775,775,525,14277.5
Pelagis Besar,Bawal laut,325.0,200.0,300.0,150.0,525,100,225.0,125.0,300,2425,4475,2225,11375.0
Pelagis Kecil,Bentong,3725.0,6500.0,5250.0,3750.0,4000,4000,7250.0,3500.0,4500,750,125,375,43725.0
Pelagis Besar,Cakalang,226625.0,162267.5,126500.0,178250.0,161825,105750,198500.0,135500.0,160250,213750,239375,205125,2113717.5
Demersal,Cucut,121.0,103.0,94.0,98.0,109,89,120.0,111.0,102,133,164,165,1409.0
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,10250.0,11562.5,18250.0,14800.0,8750,6800,23875.0,11650.0,7500,13125,18625,3625,148812.5
Demersal,Golok golok,750.0,700.0,550.0,1000.0,1900,850,750.0,225.0,850,1400,1650,900,11525.0
Demersal,Gulamah/Tigawaja/Samgeh,4300.0,3000.0,2000.0,1425.0,1750,1000,3250.0,2375.0,3000,3250,3500,3550,32400.0
Pelagis Besar,ikan pedang,405.0,325.0,500.0,550.0,325,750,1600.0,675.0,325,850,950,450,7705.0
Demersal,Ikan sebelah,375.0,575.0,500.0,750.0,500,200,525.0,137.5,950,975,1025,525,7037.5
Pelagis Kecil,Japuh,306.0,278.0,249.0,250.0,221,232,233.0,214.0,205,226,227,228,2869.0
Karang (Reef-Associated),Jenaha,1302.5,1250.0,1750.0,1125.0,700,250,1000.0,750.0,650,675,925,425,10802.5
Karang (Reef-Associated),Kakap Merah,3675.0,3350.0,3000.0,2500.0,2075,1450,975.0,925.0,925,18950,22200,18875,78900.0
Pelagis Kecil,Kapas kapas,4222.5,2175.0,1750.0,5275.0,4250,1675,2250.0,2000.0,2250,425,225,725,27222.5
Pelagis Kecil,Kembung,3800.0,4725.0,2000.0,1500.0,2500,3000,10500.0,7750.0,11450,10450,10950,3500,72125.0
Karang (Reef-Associated),Kerapu,1750.0,3250.0,1625.0,1275.0,925,500,375.0,275.0,425,1250,1825,1888,15363.0
Karang (Reef-Associated),kuwe,5750.0,10150.0,10000.0,6000.0,7750,3125,4500.0,2250.0,2800,4550,9800,7800,74475.0
Demersal,Kuniran/biji nangka,2250.0,1600.0,750.0,675.0,725,325,500.0,725.0,650,800,875,675,10550.0
Demersal,Kurisi,750.0,1025.0,1250.0,875.0,1150,675,1000.0,700.0,1000,1625,2125,1300,13475.0
Pelagis Kecil,Laosan,2750.0,1900.0,1500.0,2000.0,5100,4000,5000.0,6162.5,7900,7625,7525,9100,60562.5
Pelagis Kecil,Layang,52750.0,44487.5,49000.0,52500.0,43750,21250,39500.0,18500.0,13250,2375,3625,3250,344237.5
Pelagis Besar,layaran,4125.0,2250.0,3750.0,2250.0,4000,5750,3500.0,1750.0,1250,17000,20400,10900,76925.0
Pelagis Kecil,Layur,27650.0,19742.5,15000.0,12500.0,11250,9500,13250.0,19325.0,24000,26000,28500,29000,235717.5
Pelagis Besar,Lemadang,20050.0,28850.0,6750.0,4500.0,12700,9350,17250.0,14500.0,21750,19625,21875,14375,191575.0
Demersal,Manyung,250.0,875.0,125.0,225.0,1150,950,1450.0,445.0,500,700,925,675,8270.0
Pelagis Besar,Marlin,5500.0,8550.0,11250.0,15125.0,13750,14500,26250.0,9000.0,4500,4000,14425,14175,141025.0
Demersal,Pari,1437.5,1050.0,875.0,1350.0,875,650,425.0,650.0,475,1075,1200,1025,11087.5
Pelagis Kecil,Peperek,1500.0,1150.0,1500.0,2175.0,2575,3250,3250.0,1750.0,1850,3000,3550,3300,28850.0
Pelagis Besar,Swanggi,500.0,350.0,475.0,300.0,1000,525,325.0,100.0,700,600,725,475,6075.0
Pelagis Kecil,Selar,2750.0,3750.0,3500.0,3250.0,5500,5250,4000.0,2250.0,2500,175,425,250,33600.0
Demersal,Tambakan,725.0,800.0,700.0,850.0,750,200,425.0,150.0,350,375,625,375,6325.0
Pelagis Kecil,Tembang,580.0,381.0,282.0,183.0,148,194,195.0,196.0,157,228,329,330,3203.0
Pelagis Besar,Tenggiri,2605.0,2232.5,1525.0,2650.0,3000,1300,2725.0,1975.0,1225,22913,28413,30413,100976.5
Pelagis Kecil,Tetengkek,425.0,325.0,600.0,750.0,400,125,662.5,750.0,550,1075,1575,1325,8562.5
Pelagis Besar,Tongkol,38000.0,25375.0,16812.5,17075.0,8225,26150,31175.0,9025.0,10950,26925,29425,31925,271062.5
Pelagis Besar,Tuna Sirip Kuning,173800.0,165250.0,172000.0,140125.0,134750,106750,225150.0,164650.0,156300,193800,218800,171300,2022675.0
Pelagis Besar,Tuna Mata Besar,3200.0,2100.0,1100.0,980.0,1020,1150,1050.0,1250.0,1200,2320,3580,3340,22290.0
Pelagis Kecil,Teri,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
jumlah,,610679.5,523939.5,464372.5,481279.5,451385,342861,636706.5,424188.0,448537,606544,706328,579005,6275825.5
