jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Karang (Reef-Associated),Ayam ayam,5764.6,3432.0000000000005,3581.6000000000004,4876.6,4367.2,8652.0,3990.2,5378.4,7178.2,1800.0,6600.0,1720.0,57340.8
Pelagis Besar,Bawal laut,148.0,260.0,185.0,407.0,206.0,144.2,281.0,265.6,494.0,4640.0,680.0,800.0,8510.8
Pelagis Besar,Cakalang,128546.34999999999,114864.75,205776.5,184943.0,118703.85,155044.47,207343.5,257137.2,223713.0,243633.25,207396.17500000002,243512.5,2290614.545
Pelagis Besar,Cendro,1069.1999999999998,826.0,1871.1,1722.6,1776.0,1555.0,1296.23,348.0,627.2,6050.0,2900.0,2000.0,22041.33
Pelagis Kecil,Ekor kuning,1386.0,2360.0,2158.2,1831.5,1184.0,2177.0,2070.9,1044.0,1136.8,6750.0,5925.0,1750.0,29773.4
Demersal,Gabus Laut,1237.5,1180.0,1930.5,2079.0,3433.6,1928.2,1687.4,1426.8,1411.2,3145.0,1250.0,3500.0,24209.2
Demersal,Gerot Gerot,4603.5,6313.0,4108.5,3385.7999999999997,2072.0,1648.3,1610.7,2262.0,2979.2,4000.0,19780.0,3000.0,55763.0
Demersal,Golok golok,3217.5,4130.0,3177.9,3613.5,1965.4399999999998,2998.04,2147.6,1009.1999999999999,2038.4,6230.0,7009.999999999999,1250.0,38787.58
Demersal,Gulamah/Tigawaja/Samgeh,6435.0,5900.0,5841.0,5791.5,3078.4,3856.4,4141.8,1461.6,2234.4,8450.0,3600.0,3500.0,54290.100000000006
Karang (Reef-Associated),Kakap,975.0,544.0,689.0000000000001,2171.0000000000005,986.0,1587.0,1496.5,1041.6,1598.0,7995.0,7670.0,1625.0,28378.1
Karang (Reef-Associated),Kakap Batu,2340.0,1156.0,1170.0,1365.0,215.86,376.5,673.6800000000001,442.5,297.86,1225.0,2744.0,735.0,12741.4
Karang (Reef-Associated),Kakap Jenaha,1365.0,924.8000000000001,1144.0,1365.0,1088.0,621.0,919.8000000000001,372.0,705.0,7670.0,7189.0,1235.0,24598.6
Karang (Reef-Associated),Kakap Merah,990.0,1209.5,866.25,1237.5,1243.2,1679.4,1595.3600000000001,904.8,784.0,6600.0,6380.0,2000.0,25490.010000000002
Pelagis Kecil,Kapas kapas/Bagas,1728.0,1455.0,1368.0,2544.0,1987.92,2208.8,1992.06,1335.6,3488.8,13130.0,12055.0,9250.0,52543.18
Pelagis Kecil,Kembung Lelaki,5005.0,10005.0,8354.5,11935.0,4881.24,10441.2,7044.8,1946.6999999999998,3054.4,20504.0,20040.0,19600.0,122811.84
Pelagis Kecil,Kembung Perempuan,2695.0,5220.0,7161.0,10780.0,9118.8,3834.6,4084.8,1637.6999999999998,9823.880000000003,9300.0,13300.0,7000.0,83955.78
Karang (Reef-Associated),Kerapu,3217.5,1711.0,1608.75,940.5,1420.8,1555.0,1534.0,556.8,940.8,6540.0,2500.0,2000.0,24525.149999999998
Demersal,Kuniran/biji nangka,3663.0,2537.0,3465.0,2524.5,2652.16,1679.4,1748.7599999999998,1461.6,1332.8,3500.0,7445.0,1250.0,33259.22
Demersal,Kurisi,2821.5,2478.0,2524.5,1861.2,2794.24,2152.12,3359.46,904.8,1215.2,6300.0,6400.0,1500.0,34311.020000000004
Pelagis Kecil,Kuro/Senangin/laosan,8910.0,7729.0,4405.5,3069.0,4676.8,6282.2,4908.8,2749.2,2077.6,3400.0,24745.0,3500.0,76453.1
Karang (Reef-Associated),kuwe,3388.0,3175.5,5043.5,4504.5,3263.1,1617.0,1716.8,957.9000000000001,710.4800000000001,7068.000000000001,2716.0,3000.0,37160.78
Karang (Reef-Associated),kuwe gerong,1232.0,957.0,1655.5,847.0,1832.7,1663.2,1704.96,1143.3,2778.8399999999997,5312.0,5164.0,1312.0000000000002,25602.5
Pelagis Kecil,Layang,21591.5,18560.0,32035.400000000005,23498.0,14988.4,14564.2,11940.2,12757.5,21878.4,31970.0,22884.000000000004,29010.0,255677.6
Pelagis Besar,layaran,660.0,1104.5,1276.0,1760.0,1108.6,1132.7,2328.1200000000003,1888.0,2357.7,1081.0,893.0,1774.25,17363.87
Pelagis Kecil,Layur,15840.0,14927.0,15444.0,12028.5,7696.0,12626.6,10968.1,11414.4,16072.0,20430.0,17765.0,16015.0,171226.6
Pelagis Besar,Lemadang,30288.0,20500.0,34080.0,38640.0,18491.2,25603.2,23347.2,9744.0,47336.8,41800.0,20600.0,42125.0,352555.4
Pelagis Kecil,Lencam,1138.5,885.0,915.75,1732.5,651.2,1306.2,460.2,591.5999999999999,337.12,5534.999999999999,969.9999999999999,1164.9999999999998,15688.069999999998
Demersal,Manyung,3780.0,2660.0,2415.0,3710.0,2240.0,2590.0,3150.0,1406.0,2100.0,2009.0,1330.0,2184.0,29574.0
Demersal,Marlin,2400.0,2120.0,1800.0,2715.0,2288.0,2354.0,3854.0,3180.0,3840.0,2040.0,1310.0,2640.0,30541.0
Pelagis Besar,Nyunglas,134.0,420.0,268.0,452.25,489.90000000000003,234.3,368.71999999999997,775.85,722.8000000000001,352.0,2514.0000000000005,396.00000000000006,7127.82
Pelagis Kecil,Pari,2668.7999999999997,3090.0,3456.0,2640.0,1574.8,2321.56,2164.48,417.59999999999997,1433.8,1250.0,2950.0,1600.0,25567.039999999997
Demersal,Pedang,131.625,387.75,506.25,729.0,545.6,744.0,615.75,1350.0,469.5,211.5,376.0,235.0,6301.975
Pelagis Besar,Peperek,10010.0,8960.0,11200.0,12670.0,6160.0,5180.0,4830.0,3496.0,3960.0,6020.0,10640.0,6790.0,89916.0
Pelagis Kecil,Pinjalo,490.0,252.0,630.0,1190.0,630.0,840.0,1190.0,494.0,475.0,7700.0,10745.0,1610.0,26246.0
Karang (Reef-Associated),Pisang-pisang,31500.0,36400.0,28840.0,42560.0,27559.0,37870.0,29400.0,21280.0,27700.0,27230.0,22890.0,28784.0,362013.0
Pelagis Kecil,Sebelah,3220.0,2100.0,2800.0,1946.0,2240.0,2870.0,2240.0,950.0,1000.0,994.0,1610.0,1610.0,23580.0
Demersal,Selar Bentong,8016.0,10000.0,15840.0,23328.0,7721.6,7924.8,5532.8,4872.0,14650.439999999999,23465.0,26630.0,23940.0,171920.64
Pelagis Kecil,Selar Kuning,1240.0,3360.0,3720.0,4929.0,2262.4,2504.8,1884.1,420.0,4876.0,3800.0,6600.0,4200.0,39796.3
Pelagis Kecil,Swanggi,1089.0,2271.5,2410.6499999999996,1237.5,1124.8,1430.6,1380.6,904.8,1920.8,1550.0,5750.0,2100.0,23170.25
Pelagis Besar,Tenggiri,670.0,700.0,452.25,569.5,447.3,607.05,875.71,354.0,361.40000000000003,360.0,2100.0,420.0,7917.21
Pelagis Besar,Tenggiri Papan,452.25,480.0,368.5,519.25,394.05,298.20000000000005,414.81,413.0,1028.6,820.0,1158.0,1060.0,7406.66
Pelagis Besar,Tetengkek,2136.75,783.0,1039.5,793.0999999999999,750.96,693.0,473.6,587.1,1095.6,1840.0,1720.0,2200.0,14112.61
