nama_ikan,ds,y
Bentong,2020-01-09,1650
Bentong,2020-01-10,1816
Bentong,2020-01-11,1705
Bentong,2020-01-12,1400
Bentong,2021-01-01,3725
Bentong,2021-01-02,6500
Bentong,2021-01-03,5250
Bentong,2021-01-04,3750
Bentong,2021-01-05,4000
Bentong,2021-01-06,4000
Bentong,2021-01-07,7250
Bentong,2021-01-08,3500
Bentong,2021-01-09,4500
Bentong,2021-01-10,750
Bentong,2021-01-11,125
Bentong,2021-01-12,375
Cakalang,2019-01-01,102375
Cakalang,2019-01-02,1332415
Cakalang,2019-01-03,179200
Cakalang,2019-01-04,217280
Cakalang,2019-01-05,190976
Cakalang,2019-01-06,133536
Cakalang,2019-01-07,210690
Cakalang,2019-01-08,183630
Cakalang,2019-01-09,210150
Cakalang,2019-01-10,230040
Cakalang,2019-01-11,184050
Cakalang,2019-01-12,1674475
Cakalang,2020-01-01,96022
Cakalang,2020-01-02,100671
Cakalang,2020-01-03,186000
Cakalang,2020-01-04,186500
Cakalang,2020-01-05,148836
Cakalang,2020-01-06,256733
Cakalang,2020-01-07,186476
Cakalang,2020-01-08,173056
Cakalang,2020-01-09,165882
Cakalang,2020-01-10,198560
Cakalang,2020-01-11,252500
Cakalang,2020-01-12,286476
Cakalang,2021-01-01,226625
Cakalang,2021-01-02,1622675
Cakalang,2021-01-03,126500
Cakalang,2021-01-04,178250
Cakalang,2021-01-05,161825
Cakalang,2021-01-06,105750
Cakalang,2021-01-07,198500
Cakalang,2021-01-08,135500
Cakalang,2021-01-09,160250
Cakalang,2021-01-10,213750
Cakalang,2021-01-11,239375
Cakalang,2021-01-12,205125
Cakalang,2022-01-03,2057765
Cakalang,2022-01-04,184943
Cakalang,2022-01-07,2073435
Cakalang,2022-01-08,2571372
Cakalang,2022-01-09,223713
Cakalang,2022-01-12,2435125
Cakalang,2023-01-01,113643
Cakalang,2023-01-06,2263576
Cakalang,2023-01-07,179860
Cakalang,2023-01-08,2874977
Cakalang,2023-01-10,170107
Cakalang,2024-01-01,155878
Cakalang,2024-01-02,177314
Cakalang,2024-01-03,159767
Cakalang,2024-01-04,113287
Cakalang,2024-01-05,145569
Cakalang,2024-01-06,124686
